id,esco_occupation,isco_code,onet_code,onet_occupation,matching_job_titles,semantic_similarity,confidence,concept_uri
1001,accommodation manager,1411,11-9081.00,lodging managers,"['resort manager', 'resident manager', 'hotel general manager', 'hotel director', 'hotel manager']",0.8138784408569335,2.0,http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae
2514,restaurant manager,1412,11-9051.00,food service managers,"['restaurant manager', 'catering manager']",0.8220643907785415,2.0,http://data.europa.eu/esco/occupation/d5eb6150-bbff-4a9c-9d0c-21eab4dbe2b6
563,sales account manager,1420,11-2022.00,sales managers,"['sales account manager', 'sales coordinator', 'sales manager', 'business development manager', 'national account manager', 'sales representative']",0.8715685814619065,1.0,http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d
702,trade regional manager,1420,11-2022.00,sales managers,"['area sales manager', 'regional sales manager']",0.82742158472538,1.0,http://data.europa.eu/esco/occupation/3a4c4e33-ee34-4abe-ba5c-26f9037d292f
1512,department store manager,1420,11-1021.00,general and operations managers,['department store manager'],0.7110525161027907,1.0,http://data.europa.eu/esco/occupation/7dec82e0-3bfc-4c48-812d-c2095bfe05bb
1885,shop manager,1420,41-1011.00,first-line supervisors of retail sales workers,"['shop manager', 'retail store manager', 'store manager']",0.85328808426857,1.0,http://data.europa.eu/esco/occupation/9e81adde-9983-44fa-b74b-c548d0dbfbdd
1984,retail department manager,1420,41-1011.00,first-line supervisors of retail sales workers,['department sales manager'],0.8545452535152436,1.0,http://data.europa.eu/esco/occupation/a79d9e58-36be-4e67-a4db-ea6c8ff445fc
2168,supermarket manager,1420,41-1011.00,first-line supervisors of retail sales workers,['supermarket manager'],0.8078467160463333,1.0,http://data.europa.eu/esco/occupation/b7744a45-a4ce-4037-b679-3d2377e17f31
1156,cultural facilities manager,1431,11-9199.00,"managers, all other",na,0.6123360991477966,1.0,http://data.europa.eu/esco/occupation/6066ed14-ace3-4352-b656-2b621fd7bc88
1427,recreational facilities manager,1431,11-9199.00,"managers, all other",['recreation establishment manager'],0.640385490655899,1.0,http://data.europa.eu/esco/occupation/771955d9-e988-47f3-b60f-207adb2cd571
1565,sport facility manager,1431,11-9199.00,"managers, all other",na,0.6296528935432434,1.0,http://data.europa.eu/esco/occupation/825ab049-2f0c-4acf-b402-9c6bb51acca2
814,laundry and dry cleaning manager,1439,37-1011.00,first-line supervisors of housekeeping and janitorial workers,na,0.7935137093067168,0.5,http://data.europa.eu/esco/occupation/44cd9d91-5552-4735-86b8-4b2c5d39efc8
1112,garage manager,1439,11-9199.00,"managers, all other",na,0.5972101137042046,1.0,http://data.europa.eu/esco/occupation/5c9dea76-c7da-4e58-857c-fc3cbe7b960a
1279,camping ground manager,1439,11-9081.00,lodging managers,['campground manager'],0.7289258539676666,1.0,http://data.europa.eu/esco/occupation/6aef7360-8c4a-4e1a-a402-b1e207101dc8
1746,travel agency manager,1439,11-2022.00,sales managers,na,0.7714339345693588,1.0,http://data.europa.eu/esco/occupation/9358775a-3769-4327-bf25-6c0d9d69d192
2812,tourist information centre manager,1439,11-9199.00,"managers, all other",na,0.5790755480527878,1.0,http://data.europa.eu/esco/occupation/f4e3dd1c-f86b-4a69-8887-547255eadc79
2815,contact centre manager,1439,43-1011.00,first-line supervisors of office and administrative support workers,['customer service manager'],0.8437879055738449,1.0,http://data.europa.eu/esco/occupation/f5166c6b-3467-4fc4-9343-d12e870d9def
1048,astronomer,2111,19-2011.00,astronomers,"['astronomer', 'astrophysicist', 'astronomers']",0.8076941072940826,2.0,http://data.europa.eu/esco/occupation/57a12047-4f1e-40ed-add5-9736923f231b
