id,concept_type,concept_uri,preferred_label,alt_labels,description,isco_group,isco_level_1,isco_level_2,isco_level_3,isco_level_4
688,Occupation,http://data.europa.eu/esco/occupation/3900b684-6b4b-4133-b134-e1d129d60383,rental service representative,"rental sales assistant
rental sales supervisor
rental advisor
rental service manager
rental service worker
rental specialist
rental service desk agent
rental service assistant
rental sales desk supervisor
rental service team leader
rental sales desk agent
rental service supervisor
rental sales manager
rental service desk clerk
rental sales team leader
rental sales worker
rental service desk supervisor
rental sales desk clerk","Rental service representatives are in charge of renting out equipment and determining specific periods of usage. They document transactions, insurances and payments.",5249,5,52,524,5249
689,Occupation,http://data.europa.eu/esco/occupation/394a4bdd-7032-4d87-89a2-9d937cebdd09,economic policy officer,"policy officer for economy
economical policy officer
policy officer, economics
economic policy advisor
economic policy analyst
economic policy researcher
finance policy officer
economic policy specialist","Economic policy officers develop economic strategies. They monitor aspects of economics such as competitiveness, innovation and trade. Economic policy officers contribute to the development of economic policies, projects and programs. They research, analyse and assess public policy problems and recommend appropriate actions.",2412,2,24,241,2412
691,Occupation,http://data.europa.eu/esco/occupation/39803100-c338-4f01-ad2c-085d488920ca,forwarding manager,"freight forwarding agent
export manager
freight forwarding, head
head of freight forwarding
freight forwarding manager
forwarding supervisor
logistics line manager",Forwarding managers plan and organise cargo shipments within national and international areas. They communicate with carriers and negotiate the best way to send the cargo to its destination which can be a single customer or a point of distribution. Forwarding managers act as experts in supply chain management. They know and apply the rules and regulations for each specific type of cargo and communicate the conditions and costs to the clients.,3331,3,33,333,3331
693,Occupation,http://data.europa.eu/esco/occupation/39a59c5c-4338-4480-bdc8-96328a491907,attraction operator,"attraction supervisor
attraction & ride operator
attraction and ride operator
ride supervisor
ride leader
ride & attraction operator
ride operator
senior ride attendant
fairground attraction operator
ride and attraction operator","Attraction operators control rides and monitor the attraction. They provide first aid assistance and materials as needed, and immediately report to the area supervisor. They conduct opening and closing procedures in assigned areas.",9629,9,96,962,9629
695,Occupation,http://data.europa.eu/esco/occupation/39c89133-bd2a-45db-b3eb-529b94daeeaf,licensing officer,"fire protection specialist
licensing compliance officer
licensing standards officer
business permit licensing officer
restaurant licensing officer
driver licensing officer
license inspector
patents officer
building authority officer
licensing examiner
building permit licensing officer
technology licensing officer
fire protection licensing officer
alcohol licensing officer","Licensing officers process licence applications and provide advice on licensing legislation. They also perform investigative duties to ensure the applicant is eligible for the requested licence, ensure licence fees are paid in a timely manner, and ensure compliance with legislation.",3354,3,33,335,3354
697,Occupation,http://data.europa.eu/esco/occupation/39e06c20-d262-44f9-a6a8-a0f3ba9e887c,soap maker,"soapmaker
maker of soap
soap and cosmetics maker
artisan soap maker
soap factory operator
soap boiler","Soap makers operate equipments and mixers that produce soap, making sure the end product is produced according to specified formula.",8131,8,81,813,8131
698,Occupation,http://data.europa.eu/esco/occupation/39e9fc8f-02bd-4577-b603-2dc96204ce74,community development officer,"social development officer
local community development officer
outreach support worker","Community development officers develop plans to improve quality of life in local communities. They investigate and assess the community's issues and needs, manage resources, and develop implementation strategies. They communicate with the community for investigation purposes, and to inform the community on development plans.",2422,2,24,242,2422
701,Occupation,http://data.europa.eu/esco/occupation/3a3fac9d-323e-4ba6-989b-0e1d44e113cc,ordinary seaman,"seamanship apprentice
ordinary seawoman
OS
seaman recruit","Ordinary seamen occupy the lowest rank of a maritime ship’s deck crew. They comprise the main labour force on board a boat where they help to operate the ship. They are supervised by the ship captain and the engineer, and can be given instructions by any individuals ranked above them.",8350,8,83,835,8350
702,Occupation,http://data.europa.eu/esco/occupation/3a4c4e33-ee34-4abe-ba5c-26f9037d292f,trade regional manager,"assistant trade regional manager
area sales manager
regional sales and marketing manager
senior trade regional manager
store trade regional manager
trainee trade regional manager
regional sales manager
graduate trade regional manager
regional product sales manager","Trade regional managers are responsible for activities and staff in an assigned region for a specific chain of stores.
",1420,1,14,142,1420
703,Occupation,http://data.europa.eu/esco/occupation/3a55bf97-a0d2-47a0-a8b3-b248d32c7969,glass engraver,"diamond point glass engraver
decorative glass engraver
glass decorator
precision etcher
ornamental glass engraver
glass hand etcher
precision engraver
glass etcher
heritage glass engraver","Glass engravers engrave lettering and ornamental designs onto glass articles, using engravers hand tools. They sketch and lay out the lettering and designs on the article, cut the design in the article and finish it.",7316,7,73,731,7316
