id,occupation,isco_code,skills_based_sector_code,skills_based_sector,sub_sector_code,sub_sector,risk_category,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,remote_labor_index,physical_proximity,exposure_score,n_desirable,n_desirable_and_highly_viable,n_safe_desirable,n_safe_desirable_and_highly_viable,n_safe_desirable_strict,n_safe_desirable_strict_and_highly_viable,concept_uri
918,3D printing technician,3118,5,engineers & researchers,5.3,"mechanical engineers, designers & drafters",Lower risk,4.0,6.287,5.6804,3.4047,27788.647887,0.772727,0.465,0.325087,28,6,21,4,10,1,http://data.europa.eu/esco/occupation/4cf7be91-fed9-47a7-9ca9-e74c7eb6becb
920,early years teaching assistant,5312,7,education workers,7.2,teachers & childcare workers,Lower risk,3.0,3.6277,3.9765,2.7602,15945.319226,0.444444,0.88,0.699206,27,21,25,19,0,0,http://data.europa.eu/esco/occupation/4d27152a-a8ee-4f5a-9f93-a2fb4fb2b2e3
921,electronics engineer,2152,5,engineers & researchers,5.2,various engineers & architects,Lower risk,4.0,5.8123,7.0458,4.3592,37361.441296,0.722222,0.5125,0.377308,51,16,48,15,28,12,http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224
925,social security officer,3353,2,business & administration workers,2.3,"assistants, clerks & legal workers",Lower risk,3.0,4.3912,4.937,4.0252,28729.12336,0.923077,0.5575,0.207086,18,2,11,1,0,0,http://data.europa.eu/esco/occupation/4d750b7f-f40d-447c-ba90-f5fb0ee9ef27
927,aviation ground systems engineer,2149,12,ict workers,12.2,developers & testers,Lower risk,3.0,4.7463,6.0512,4.124,35911.871608,0.333333,0.6575,0.662067,5,0,3,0,0,0,http://data.europa.eu/esco/occupation/4daee8bd-8400-4da6-ba52-30d4c193d1a9
932,big data archive librarian,3433,12,ict workers,12.3,data workers,Lower risk,5.0,7.7428,5.8061,3.6775,18228.571429,0.636364,0.44,0.4,20,10,15,8,0,0,http://data.europa.eu/esco/occupation/4e4a1aa1-ca53-406e-9ca6-889d4621a0ed
939,public funding advisor,2412,2,business & administration workers,2.2,accounting & financial services workers,Lower risk,4.0,6.5707,7.1071,5.8566,34270.940426,0.846154,0.365,0.236968,56,8,38,5,2,2,http://data.europa.eu/esco/occupation/4ed22a87-8478-4731-be11-5942eacb2e16
941,recycling worker,9612,1,"technicians, construction, transport & security workers",1.5,environmental & agriculture workers,Lower risk,2.0,3.1532,3.3559,2.8314,21357.054545,0.0,0.58,0.761577,22,3,22,3,2,0,http://data.europa.eu/esco/occupation/4ed9ce62-75d4-4b05-80d4-e86528fecdcd
945,podiatry assistant,2269,11,healthcare workers,11.3,naturopathic & physical therapists,Lower risk,5.0,10.0559,5.4257,3.7795,29851.831579,0.333333,0.945,0.793725,24,3,22,3,11,1,http://data.europa.eu/esco/occupation/4f08cd74-71c6-43aa-88d4-841e5bb677f7
946,hardwood floor layer,7122,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors,Lower risk,2.0,1.8644,3.9264,5.3721,23936.857143,0.0,0.6175,0.785812,54,19,54,19,0,0,http://data.europa.eu/esco/occupation/4f1bb8b4-3fff-4e68-b427-8c892534a181
951,filing machine operator,8122,4,manufacturing workers,4.1,metal workers & machine operators,Lower risk,2.0,2.2128,4.3425,3.5772,22295.4,0.133333,0.5475,0.68884,157,103,157,103,90,61,http://data.europa.eu/esco/occupation/4f5e4fb1-58bd-4abd-bb06-4af9203a1518
952,paper embosing press operator,7322,4,manufacturing workers,4.4,paper & wood manufacturing workers,Lower risk,2.0,2.0099,3.8507,2.9896,21832.691489,0.0,0.605,0.777817,149,96,149,96,22,13,http://data.europa.eu/esco/occupation/4f7e7482-39e7-4f3a-bf11-763620f4b8e0
953,political scientist,2633,5,engineers & researchers,5.1,researchers & science technicians,Lower risk,5.0,10.1656,3.3995,2.2996,44206.0,1.0,0.3075,0.0,34,18,27,16,10,7,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3
954,social work assistant,3412,14,social workers,14.1,social workers,High risk,4.0,5.5743,4.1416,3.2409,22871.190205,0.615385,0.79,0.551222,25,12,13,5,9,3,http://data.europa.eu/esco/occupation/4fa660b3-ab97-4a99-ad73-ce3c2612f2c3
955,aquaculture harvesting manager,1312,13,animal care & husbandry workers,13.3,aquaculture workers,Lower risk,4.0,4.4211,6.05,4.2,30788.0,0.606061,0.5125,0.449326,14,4,14,4,4,1,http://data.europa.eu/esco/occupation/4fe4b1f1-e84d-4056-b062-83d5a64fc571
956,scientific laboratory technician,3141,5,engineers & researchers,5.1,researchers & science technicians,Lower risk,4.0,6.8126,6.8818,4.4261,20011.0,0.090909,0.505,0.677562,34,16,32,15,4,2,http://data.europa.eu/esco/occupation/4fef1907-cf82-413b-841a-02ef57e299a6
957,industrial robot controller,3139,4,manufacturing workers,4.4,paper & wood manufacturing workers,Lower risk,3.0,3.3099,5.3738,3.8502,28403.636364,0.222222,0.5125,0.631357,82,5,82,5,52,3,http://data.europa.eu/esco/occupation/5001506f-dd7d-4801-92ac-6f7e93b45133
959,cooper,7522,4,manufacturing workers,4.3,craftspersons & carpenters,Lower risk,2.0,1.9076,4.1517,3.5454,24701.996269,0.142857,0.5125,0.662786,25,8,25,8,8,3,http://data.europa.eu/esco/occupation/501a3798-08bf-4475-88d2-0e8c9befb101
960,injection moulding operator,8142,4,manufacturing workers,4.2,chemical manufacturing workers,Lower risk,2.0,1.8396,4.5717,4.0574,24469.8,0.064516,0.6825,0.799042,166,79,166,79,6,1,http://data.europa.eu/esco/occupation/502fe307-ae65-46cb-a485-e559b9a35266
961,street sweeper,9613,3,sales & services workers,3.1,"food, cleaning & services workers",Lower risk,2.0,2.1143,5.0431,3.7943,25825.135593,0.0,0.6825,0.826136,9,2,9,2,3,1,http://data.europa.eu/esco/occupation/503ea267-93e9-4b8c-ae5e-817fe7e4a245
962,freight inspector,3359,1,"technicians, construction, transport & security workers",1.5,environmental & agriculture workers,Lower risk,4.0,4.9143,6.379,4.8373,26209.879147,0.28,0.5875,0.650385,9,0,9,0,7,0,http://data.europa.eu/esco/occupation/50609eb5-9957-4cbf-9b91-6f46ce49cfad
964,business valuer,2412,2,business & administration workers,2.2,accounting & financial services workers,Lower risk,4.0,6.5707,7.1071,5.8566,34270.940426,0.846154,0.365,0.236968,64,13,42,7,3,0,http://data.europa.eu/esco/occupation/50760da6-abc3-424c-b159-8ddf0818e016
966,debt collector,4214,2,business & administration workers,2.3,"assistants, clerks & legal workers",Lower risk,2.0,3.3798,5.4719,3.1422,20072.555085,0.666667,0.4475,0.386221,15,2,9,2,2,1,http://data.europa.eu/esco/occupation/50a66df6-c141-4b4a-937a-d3bc55737ae3
971,mail clerk,4412,3,sales & services workers,3.2,customer representatives,Lower risk,2.0,1.9982,1.8238,2.5823,23091.710204,0.076923,0.625,0.759555,4,1,3,0,0,0,http://data.europa.eu/esco/occupation/511f366c-ba41-4826-9622-8cda6d6e3b91
972,leather goods patternmaker,7532,8,"textile, clothing, leather & footwear manufacturing workers",8.1,shoe & leather manufacturing workers,Lower risk,3.0,3.5125,6.7079,5.6053,16576.0,0.272727,0.4925,0.598483,23,5,17,4,11,2,http://data.europa.eu/esco/occupation/5157706c-3fce-420e-9e7f-863000af5397
